league,team1,team2,measurements,ngame,score_diff,win1,win2,final_score_diff,score_diff_delta
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,29,70,7,1.79,2.015,-2,-9
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,30,70,7,1.79,2.015,-2,-9
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,31,70,7,1.6,2.325,-2,-9
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,32,70,9,1.38,3.09,-2,-11
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,33,70,8,1.51,2.565,-2,-10
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,34,70,7,1.48,2.656,-2,-9
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,35,70,10,1.23,4.28,-2,-12
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,36,70,8,1.37,3.144,-2,-10
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,37,70,6,1.64,2.248,-2,-8
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,38,70,4,1.84,1.95,-2,-6
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,39,70,0,2.375,1.58,-2,-2
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,40,70,-1,2.375,1.58,-2,-1
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,41,70,-3,3.36,1.33,-2,1
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,43,70,-3,2.85,1.43,-2,1
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,44,70,-3,3.58,1.3,-2,1
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,1,115,0,4.86,1.19,3,3
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,2,115,0,4.86,1.19,3,3
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,3,115,0,4.56,1.21,3,3
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,4,115,1,3.82,1.27,3,2
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,5,115,1,3.7,1.29,3,2
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,6,115,4,2.89,1.42,3,-1
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,7,115,8,2.304,1.61,3,-5
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,8,115,8,2.13,1.704,3,-5
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,9,115,9,1.915,1.875,3,-6
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,10,115,8,1.97,1.82,3,-5
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,11,115,8,2,1.8,3,-5
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,12,115,9,1.95,1.84,3,-6
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,13,115,12,1.712,2.12,3,-9
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,14,115,15,1.54,2.475,3,-12
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,15,115,15,1.51,2.565,3,-12
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,16,115,13,1.61,2.304,3,-10
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,17,115,13,1.61,2.304,3,-10
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,18,115,13,1.54,2.475,3,-10
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,19,115,8,1.66,2.205,3,-5
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,20,115,8,1.685,2.165,3,-5
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,21,115,7,1.704,2.13,3,-4
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,24,115,7,1.915,1.875,3,-4
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,25,115,7,1.915,1.875,3,-4
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,26,115,7,1.915,1.875,3,-4
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,27,115,7,1.84,1.95,3,-4
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,28,115,11,1.32,3.42,3,-8
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,29,115,7,1.61,2.304,3,-4
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,30,115,10,1.43,2.85,3,-7
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,31,115,15,1.13,6.35,3,-12
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,32,115,12,1.19,4.86,3,-9
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,33,115,14,1.1,7.7,3,-11
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,34,115,12,1.17,5.25,3,-9
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,35,115,10,1.23,4.34,3,-7
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,36,115,5,1.755,2.056,3,-2
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,37,115,2,2.165,1.685,3,1
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,38,115,2,2.12,1.712,3,1
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,39,115,3,1.915,1.875,3,0
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,40,115,5,1.48,2.664,3,-2
Chile. Liga SAESA,ABA Ancud,Deportivo Valdivia,41,115,5,1.31,3.52,3,-2
Bahrain Cup,Al Hala,Al Riffa,1,1007,2,1.55,2.455,-10,-12
Bahrain Cup,Al Hala,Al Riffa,2,1007,3,1.53,2.5,-10,-13
Bahrain Cup,Al Hala,Al Riffa,3,1007,2,1.54,2.475,-10,-12
Bahrain Cup,Al Hala,Al Riffa,4,1007,1,1.61,2.304,-10,-11
Bahrain Cup,Al Hala,Al Riffa,5,1007,3,1.53,2.5,-10,-13
Bahrain Cup,Al Hala,Al Riffa,6,1007,3,1.51,2.565,-10,-13
Bahrain Cup,Al Hala,Al Riffa,7,1007,1,1.61,2.304,-10,-11
Bahrain Cup,Al Hala,Al Riffa,8,1007,-1,1.768,2.045,-10,-9
Bahrain Cup,Al Hala,Al Riffa,9,1007,-1,1.8,2,-10,-9
Bahrain Cup,Al Hala,Al Riffa,10,1007,-3,1.97,1.82,-10,-7
Bahrain Cup,Al Hala,Al Riffa,11,1007,-7,2.63,1.49,-10,-3
Bahrain Cup,Al Hala,Al Riffa,12,1007,-7,2.616,1.49,-10,-3
Bahrain Cup,Al Hala,Al Riffa,13,1007,-7,2.775,1.45,-10,-3
Bahrain Cup,Al Hala,Al Riffa,14,1007,-9,3.144,1.37,-10,-1
Bahrain Cup,Al Hala,Al Riffa,15,1007,-9,3.144,1.37,-10,-1
Bahrain Cup,Al Hala,Al Riffa,16,1007,-9,3.2,1.36,-10,-1
Bahrain Cup,Al Hala,Al Riffa,17,1007,-8,3.144,1.37,-10,-2
Bahrain Cup,Al Hala,Al Riffa,18,1007,-8,2.63,1.49,-10,-2
Bahrain Cup,Al Hala,Al Riffa,19,1007,-6,2.5,1.53,-10,-4
Bahrain Cup,Al Hala,Al Riffa,20,1007,-5,2.5,1.53,-10,-5
Bahrain Cup,Al Hala,Al Riffa,21,1007,-5,2.565,1.51,-10,-5
Bahrain Cup,Al Hala,Al Riffa,22,1007,-3,2.1,1.725,-10,-7
Bahrain Cup,Al Hala,Al Riffa,23,1007,-3,2.1,1.725,-10,-7
Bahrain Cup,Al Hala,Al Riffa,24,1007,-3,2.1,1.725,-10,-7
Bahrain Cup,Al Hala,Al Riffa,25,1007,-3,2.1,1.725,-10,-7
Bahrain Cup,Al Hala,Al Riffa,26,1007,-3,2.1,1.725,-10,-7
Bahrain Cup,Al Hala,Al Riffa,27,1007,-3,2.1,1.725,-10,-7
Bahrain Cup,Al Hala,Al Riffa,28,1007,-3,2.1,1.725,-10,-7
Bahrain Cup,Al Hala,Al Riffa,29,1007,-3,2.1,1.725,-10,-7
Bahrain Cup,Al Hala,Al Riffa,30,1007,-1,1.915,1.875,-10,-9
Bahrain Cup,Al Hala,Al Riffa,31,1007,2,1.65,2.225,-10,-12
Bahrain Cup,Al Hala,Al Riffa,32,1007,7,1.27,3.82,-10,-17
Bahrain Cup,Al Hala,Al Riffa,33,1007,5,1.37,3.144,-10,-15
Bahrain Cup,Al Hala,Al Riffa,34,1007,2,1.6,2.325,-10,-12
Bahrain Cup,Al Hala,Al Riffa,35,1007,-2,2.088,1.736,-10,-8
Bahrain Cup,Al Hala,Al Riffa,36,1007,0,1.8,2,-10,-10
Bahrain Cup,Al Hala,Al Riffa,37,1007,4,1.46,2.725,-10,-14
Bahrain Cup,Al Hala,Al Riffa,38,1007,2,1.63,2.265,-10,-12
Bahrain Cup,Al Hala,Al Riffa,39,1007,-2,2.165,1.685,-10,-8
Bahrain Cup,Al Hala,Al Riffa,40,1007,-2,2.265,1.63,-10,-8
Bahrain Cup,Al Hala,Al Riffa,42,1007,-6,4.22,1.24,-10,-4
Bahrain Cup,Al Hala,Al Riffa,43,1007,-11,17,1.01,-10,1
Bahrain Cup,Al Hala,Al Riffa,44,1007,-12,17,1.01,-10,2
Bahrain. Premier League,Al Riffa,Nuwaidrad,1,1103,2,1.04,10,17,15
Bahrain. Premier League,Al Riffa,Nuwaidrad,2,1103,5,1.03,12,17,12
Bahrain. Premier League,Al Riffa,Nuwaidrad,6,1103,6,1.01,14.5,17,11
Bahrain. Premier League,Al Riffa,Nuwaidrad,8,1103,5,1.04,10.5,17,12
Bahrain. Premier League,Al Riffa,Nuwaidrad,9,1103,5,1.03,11.5,17,12
Bahrain. Premier League,Al Riffa,Nuwaidrad,10,1103,3,1.08,9.1,17,14
Bahrain. Premier League,Al Riffa,Nuwaidrad,11,1103,4,1.08,9.1,17,13
Bahrain. Premier League,Al Riffa,Nuwaidrad,12,1103,6,1.03,12,17,11
Bahrain. Premier League,Al Riffa,Nuwaidrad,13,1103,3,1.09,8.3,17,14
Bahrain. Premier League,Al Riffa,Nuwaidrad,14,1103,5,1.14,6.1,17,12
Bahrain. Premier League,Al Riffa,Nuwaidrad,15,1103,7,1.02,13.5,17,10
Euroleague,Alba Berlin,Saski Baskonia,1,1222,1,1.79,2.05,24,23
Euroleague,Alba Berlin,Saski Baskonia,2,1222,-2,1.99,1.84,24,26
Euroleague,Alba Berlin,Saski Baskonia,3,1222,0,1.94,1.88,24,24
Euroleague,Alba Berlin,Saski Baskonia,4,1222,3,1.69,2.2,24,21
Euroleague,Alba Berlin,Saski Baskonia,5,1222,7,1.59,2.41,24,17
Euroleague,Alba Berlin,Saski Baskonia,6,1222,9,1.45,2.86,24,15
Euroleague,Alba Berlin,Saski Baskonia,7,1222,9,1.4,3.08,24,15
Euroleague,Alba Berlin,Saski Baskonia,8,1222,9,1.42,2.98,24,15
Euroleague,Alba Berlin,Saski Baskonia,9,1222,8,1.48,2.725,24,16
Euroleague,Alba Berlin,Saski Baskonia,10,1222,8,1.41,3.03,24,16
Euroleague,Alba Berlin,Saski Baskonia,11,1222,8,1.43,2.94,24,16
Euroleague,Alba Berlin,Saski Baskonia,12,1222,5,1.56,2.48,24,19
Euroleague,Alba Berlin,Saski Baskonia,13,1222,7,1.46,2.81,24,17
Euroleague,Alba Berlin,Saski Baskonia,14,1222,12,1.23,4.59,24,12
Euroleague,Alba Berlin,Saski Baskonia,15,1222,14,1.15,6.35,24,10
Euroleague,Alba Berlin,Saski Baskonia,16,1222,14,1.13,7.13,24,10
Euroleague,Alba Berlin,Saski Baskonia,17,1222,14,1.15,6.35,24,10
Euroleague,Alba Berlin,Saski Baskonia,18,1222,14,1.13,7.13,24,10
Euroleague,Alba Berlin,Saski Baskonia,19,1222,13,1.13,7.13,24,11
Euroleague,Alba Berlin,Saski Baskonia,20,1222,15,1.1,8.7,24,9
Euroleague,Alba Berlin,Saski Baskonia,21,1222,15,1.09,9.57,24,9
Euroleague,Alba Berlin,Saski Baskonia,22,1222,15,1.08,10.4,24,9
Euroleague,Alba Berlin,Saski Baskonia,23,1222,15,1.09,9.57,24,9
Euroleague,Alba Berlin,Saski Baskonia,24,1222,15,1.09,9.57,24,9
Euroleague,Alba Berlin,Saski Baskonia,26,1222,15,1.09,9.57,24,9
Euroleague,Alba Berlin,Saski Baskonia,28,1222,15,1.09,9.57,24,9
Euroleague,Alba Berlin,Saski Baskonia,30,1222,15,1.09,9.57,24,9
Euroleague,Alba Berlin,Saski Baskonia,32,1222,15,1.09,9.57,24,9
Euroleague,Alba Berlin,Saski Baskonia,34,1222,15,1.09,9.57,24,9
Euroleague,Alba Berlin,Saski Baskonia,36,1222,13,1.12,7.56,24,11
Euroleague,Alba Berlin,Saski Baskonia,38,1222,16,1.03,17,24,8
Euroleague,Alba Berlin,Saski Baskonia,39,1222,16,1.02,17,24,8
Euroleague,Alba Berlin,Saski Baskonia,42,1222,14,1.02,17,24,10
Euroleague,Alba Berlin,Saski Baskonia,43,1222,15,1.05,12.9,24,9
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),2,1943,2,1.32,3.46,25,23
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),3,1943,1,1.36,3.2,25,24
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),4,1943,4,1.21,4.56,25,21
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),5,1943,8,1.15,5.75,25,17
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),6,1943,7,1.17,5.25,25,18
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),7,1943,9,1.12,6.75,25,16
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),8,1943,9,1.13,6.35,25,16
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),9,1943,11,1.12,6.75,25,14
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),10,1943,11,1.09,8.3,25,14
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),11,1943,10,1.11,7.2,25,15
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),12,1943,12,1.05,10,25,13
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),13,1943,13,1.04,11,25,12
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),14,1943,13,1.03,12.5,25,12
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),15,1943,16,1.01,17,25,9
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),18,1943,16,1.01,17,25,9
Spain Championship. Women,Araski (Women),C.B. Bembibre PDM (Women),19,1943,14,1.01,17,25,11
China Championship. Women,Bayi Kylins (Women),Sichuan Blue Whales (Women),27,4386,4,1.01,17,13,9
China Championship. Women,Bayi Kylins (Women),Sichuan Blue Whales (Women),28,4386,4,1.08,10.7,13,9
China Championship. Women,Bayi Kylins (Women),Sichuan Blue Whales (Women),29,4386,4,1.08,10.7,13,9
China Championship. Women,Bayi Kylins (Women),Sichuan Blue Whales (Women),30,4386,6,1.08,10.7,13,7
China Championship. Women,Bayi Kylins (Women),Sichuan Blue Whales (Women),31,4386,8,1.08,10.7,13,5
China Championship. Women,Bayi Kylins (Women),Sichuan Blue Whales (Women),32,4386,7,1.08,10.7,13,6
Japan. B League,Chiba Jets,Akita Northern Happinets,1,7256,0,1.17,5.67,21,21
Japan. B League,Chiba Jets,Akita Northern Happinets,2,7256,0,1.17,5.67,21,21
Japan. B League,Chiba Jets,Akita Northern Happinets,3,7256,0,1.17,5.67,21,21
Japan. B League,Chiba Jets,Akita Northern Happinets,4,7256,5,1.1,8.82,21,16
Japan. B League,Chiba Jets,Akita Northern Happinets,6,7256,-2,1.27,4.03,21,23
Japan. B League,Chiba Jets,Akita Northern Happinets,7,7256,3,1.13,7.06,21,18
Japan. B League,Chiba Jets,Akita Northern Happinets,8,7256,1,1.21,4.94,21,20
Japan. B League,Chiba Jets,Akita Northern Happinets,9,7256,4,1.17,5.67,21,17
Japan. B League,Chiba Jets,Akita Northern Happinets,10,7256,4,1.13,7.06,21,17
Japan. B League,Chiba Jets,Akita Northern Happinets,11,7256,8,1.08,10.7,21,13
Japan. B League,Chiba Jets,Akita Northern Happinets,17,7256,10,1.03,16.3,21,11
Japan. B League,Chiba Jets,Akita Northern Happinets,18,7256,7,1.04,13.9,21,14
Japan. B League,Chiba Jets,Akita Northern Happinets,19,7256,10,1.03,16.3,21,11
Japan. B League,Chiba Jets,Akita Northern Happinets,20,7256,8,1.02,17,21,13
Japan. B League,Chiba Jets,Akita Northern Happinets,21,7256,6,1.05,12.2,21,15
Japan. B League,Chiba Jets,Akita Northern Happinets,22,7256,6,1.09,9.66,21,15
Japan. B League,Chiba Jets,Akita Northern Happinets,23,7256,4,1.11,8.13,21,17
Japan. B League,Chiba Jets,Akita Northern Happinets,24,7256,4,1.14,6.64,21,17
Japan. B League,Chiba Jets,Akita Northern Happinets,25,7256,4,1.14,6.64,21,17
Japan. B League,Chiba Jets,Akita Northern Happinets,26,7256,4,1.14,6.64,21,17
Japan. B League,Chiba Jets,Akita Northern Happinets,27,7256,4,1.14,6.64,21,17
Japan. B League,Chiba Jets,Akita Northern Happinets,28,7256,4,1.14,6.64,21,17
Japan. B League,Chiba Jets,Akita Northern Happinets,29,7256,4,1.14,6.64,21,17
Japan. B League,Chiba Jets,Akita Northern Happinets,30,7256,4,1.14,6.64,21,17
Japan. B League,Chiba Jets,Akita Northern Happinets,31,7256,4,1.14,6.64,21,17
Japan. B League,Chiba Jets,Akita Northern Happinets,32,7256,4,1.14,6.64,21,17
Japan. B League,Chiba Jets,Akita Northern Happinets,33,7256,4,1.14,6.64,21,17
Japan. B League,Chiba Jets,Akita Northern Happinets,34,7256,5,1.14,6.64,21,16
Japan. B League,Chiba Jets,Akita Northern Happinets,35,7256,10,1.04,13.9,21,11
Japan. B League,Chiba Jets,Akita Northern Happinets,36,7256,10,1.03,16.3,21,11
Japan. B League,Chiba Jets,Akita Northern Happinets,37,7256,9,1.05,12.2,21,12
Japan. B League,Chiba Jets,Akita Northern Happinets,38,7256,6,1.12,7.55,21,15
Japan. B League,Chiba Jets,Akita Northern Happinets,39,7256,8,1.08,10.7,21,13
Japan. B League,Chiba Jets,Akita Northern Happinets,40,7256,6,1.12,7.55,21,15
Japan. B League,Chiba Jets,Akita Northern Happinets,41,7256,5,1.14,6.64,21,16
Japan. B League,Chiba Jets,Akita Northern Happinets,43,7256,10,1.03,16.3,21,11
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),1,8325,3,1.05,9.6,28,25
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),2,8325,3,1.05,9.7,28,25
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),6,8325,-4,1.17,5.65,28,32
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),7,8325,-5,1.23,4.58,28,33
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),8,8325,-5,1.23,4.58,28,33
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),9,8325,-3,1.22,4.74,28,31
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),10,8325,-1,1.17,5.65,28,29
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),11,8325,-1,1.17,5.65,28,29
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),12,8325,-5,1.32,3.6,28,33
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),13,8325,-5,1.34,3.44,28,33
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),14,8325,-5,1.37,3.24,28,33
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),15,8325,-6,1.46,2.816,28,34
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),16,8325,-8,1.86,1.96,28,36
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),17,8325,-9,1.91,1.91,28,37
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),18,8325,-9,1.91,1.91,28,37
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),19,8325,-7,1.91,1.91,28,35
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),20,8325,-5,1.65,2.275,28,33
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),21,8325,-5,1.65,2.275,28,33
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),22,8325,-5,1.65,2.275,28,33
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),23,8325,-5,1.65,2.275,28,33
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),24,8325,-5,1.65,2.275,28,33
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),25,8325,-5,1.65,2.275,28,33
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),26,8325,-5,1.65,2.275,28,33
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),27,8325,-5,1.65,2.275,28,33
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),28,8325,-5,1.65,2.275,28,33
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),29,8325,0,1.31,3.7,28,28
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),30,8325,2,1.21,4.92,28,26
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),31,8325,4,1.17,5.65,28,24
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),32,8325,4,1.22,4.74,28,24
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),33,8325,3,1.17,5.65,28,25
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),34,8325,1,1.25,4.28,28,27
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),35,8325,7,1.1,8.8,28,21
ABA League. Women,Crvena zvezda (Women),ZKK Tresnjevka 2009 (Women),36,8325,6,1.08,10.5,28,22
Club Friendlies. Women,Fo Guang (Women),Chungwa Telecom (Women),4,11050,-11,17,1.01,-32,-21
Club Friendlies. Women,Fo Guang (Women),Chungwa Telecom (Women),10,11050,-7,17,1.01,-32,-25
Club Friendlies. Women,Fo Guang (Women),Chungwa Telecom (Women),12,11050,-11,17,1.01,-32,-21
Club Friendlies. Women,Fo Guang (Women),Chungwa Telecom (Women),14,11050,-11,17,1.01,-32,-21
Club Friendlies. Women,Fo Guang (Women),Chungwa Telecom (Women),15,11050,-11,17,1.01,-32,-21
Club Friendlies. Women,Fo Guang (Women),Chungwa Telecom (Women),16,11050,-11,17,1.01,-32,-21
Club Friendlies. Women,Fo Guang (Women),Chungwa Telecom (Women),17,11050,-11,17,1.01,-32,-21
Club Friendlies. Women,Fo Guang (Women),Chungwa Telecom (Women),18,11050,-11,17,1.01,-32,-21
Club Friendlies. Women,Fo Guang (Women),Chungwa Telecom (Women),19,11050,-11,17,1.01,-32,-21
Club Friendlies. Women,Fo Guang (Women),Chungwa Telecom (Women),20,11050,-11,17,1.01,-32,-21
Club Friendlies. Women,Fo Guang (Women),Chungwa Telecom (Women),21,11050,-11,17,1.01,-32,-21
Club Friendlies. Women,Fo Guang (Women),Chungwa Telecom (Women),22,11050,-11,17,1.01,-32,-21
Club Friendlies,GS Lavrio,Ifaistos Limnou,2,11538,0,2.565,1.51,-15,-15
Club Friendlies,GS Lavrio,Ifaistos Limnou,3,11538,1,2.4,1.57,-15,-16
Club Friendlies,GS Lavrio,Ifaistos Limnou,4,11538,-1,2.664,1.48,-15,-14
Club Friendlies,GS Lavrio,Ifaistos Limnou,5,11538,-2,2.85,1.43,-15,-13
Club Friendlies,GS Lavrio,Ifaistos Limnou,6,11538,-1,2.725,1.46,-15,-14
Club Friendlies,GS Lavrio,Ifaistos Limnou,7,11538,-1,2.664,1.48,-15,-14
Club Friendlies,GS Lavrio,Ifaistos Limnou,8,11538,-1,2.775,1.45,-15,-14
Club Friendlies,GS Lavrio,Ifaistos Limnou,9,11538,-2,2.63,1.49,-15,-13
Club Friendlies,GS Lavrio,Ifaistos Limnou,10,11538,-2,2.725,1.46,-15,-13
Club Friendlies,GS Lavrio,Ifaistos Limnou,11,11538,-2,2.725,1.46,-15,-13
Club Friendlies,GS Lavrio,Ifaistos Limnou,12,11538,-2,2.725,1.46,-15,-13
Club Friendlies,GS Lavrio,Ifaistos Limnou,13,11538,1,2.205,1.66,-15,-16
Club Friendlies,GS Lavrio,Ifaistos Limnou,14,11538,4,1.915,1.875,-15,-19
Club Friendlies,GS Lavrio,Ifaistos Limnou,15,11538,4,1.915,1.875,-15,-19
Club Friendlies,GS Lavrio,Ifaistos Limnou,16,11538,4,1.875,1.915,-15,-19
